Date,Close,prev_close,daily_return_pct
2012-12-13,15.0,,
2012-12-14,30.0,15.0,100.0
2012-12-17,65.0,30.0,116.67
2012-12-18,80.0,65.0,23.08
2012-12-19,84.0,80.0,5.0
2012-12-20,80.25,84.0,-4.46
2012-12-21,80.0,80.25,-0.31
2012-12-24,80.0,80.0,0.0
2012-12-26,77.0,80.0,-3.75
2012-12-27,59.0,77.0,-23.38
2012-12-28,72.35,59.0,22.63
2012-12-31,82.0,72.35,13.34
2013-01-02,76.0,82.0,-7.32
2013-01-03,81.25,76.0,6.91
2013-01-04,85.0,81.25,4.62
2013-01-07,79.8,85.0,-6.12
2013-01-08,80.0,79.8,0.25
2013-01-09,84.0,80.0,5.0
2013-01-10,98.0,84.0,16.67
2013-01-11,106.5,98.0,8.67
2013-01-14,120.0,106.5,12.68
2013-01-15,110.0,120.0,-8.33
2013-01-16,104.7,110.0,-4.82
2013-01-17,102.11,104.7,-2.47
2013-01-18,117.0,102.11,14.58
2013-01-22,126.5,117.0,8.12
2013-01-23,120.0,126.5,-5.14
2013-01-24,114.25,120.0,-4.79
2013-01-25,114.1,114.25,-0.13
2013-01-28,119.35,114.1,4.6
2013-01-29,125.0,119.35,4.73
2013-01-30,124.75,125.0,-0.2
2013-01-31,125.75,124.75,0.8
2013-02-01,125.5,125.75,-0.2
2013-02-04,126.0,125.5,0.4
2013-02-05,127.0,126.0,0.79
2013-02-06,126.4,127.0,-0.47
2013-02-07,125.0,126.4,-1.11
2013-02-08,129.0,125.0,3.2
2013-02-11,135.0,129.0,4.65
2013-02-12,125.0,135.0,-7.41
2013-02-13,127.2,125.0,1.76
2013-02-14,125.0,127.2,-1.73
2013-02-15,124.9,125.0,-0.08
2013-02-19,119.25,124.9,-4.52
2013-02-20,115.0,119.25,-3.56
2013-02-21,110.0,115.0,-4.35
2013-02-22,119.5,110.0,8.64
2013-02-25,119.0,119.5,-0.42
2013-02-26,123.25,119.0,3.57
2013-02-27,119.0,123.25,-3.45
2013-02-28,129.75,119.0,9.03
2013-03-01,129.75,129.75,0.0
2013-03-04,130.25,129.75,0.39
2013-03-05,131.0,130.25,0.58
2013-03-06,132.5,131.0,1.15
2013-03-07,132.0,132.5,-0.38
2013-03-08,128.5,132.0,-2.65
2013-03-11,129.15,128.5,0.51
2013-03-12,130.01,129.15,0.67
2013-03-13,132.0,130.01,1.53
2013-03-14,138.5,132.0,4.92
2013-03-15,144.0,138.5,3.97
2013-03-18,141.25,144.0,-1.91
2013-03-19,143.25,141.25,1.42
2013-03-20,148.0,143.25,3.32
2013-03-21,136.0,148.0,-8.11
2013-03-22,136.0,136.0,0.0
2013-03-25,135.0,136.0,-0.74
2013-03-26,135.5,135.0,0.37
2013-03-27,135.0,135.5,-0.37
2013-03-28,135.0,135.0,0.0
2013-04-01,130.0,135.0,-3.7
2013-04-02,130.0,130.0,0.0
2013-04-03,129.3,130.0,-0.54
2013-04-04,129.5,129.3,0.15
2013-04-05,128.35,129.5,-0.89
2013-04-08,130.0,128.35,1.29
2013-04-09,132.25,130.0,1.73
2013-04-10,131.0,132.25,-0.95
2013-04-11,131.25,131.0,0.19
2013-04-12,133.25,131.25,1.52
2013-04-15,130.0,133.25,-2.44
2013-04-16,130.75,130.0,0.58
2013-04-17,132.5,130.75,1.34
2013-04-18,132.0,132.5,-0.38
2013-04-19,132.1,132.0,0.08
2013-04-22,138.0,132.1,4.47
2013-04-23,146.0,138.0,5.8
2013-04-24,151.0,146.0,3.42
2013-04-25,199.0,151.0,31.79
2013-04-26,211.0,199.0,6.03
2013-04-29,200.0,211.0,-5.21
2013-04-30,200.0,200.0,0.0
2013-05-01,193.01,200.0,-3.5
2013-05-02,195.0,193.01,1.03
2013-05-03,203.0,195.0,4.1
2013-05-06,220.0,203.0,8.37
2013-05-07,228.5,220.0,3.86
2013-05-08,231.0,228.5,1.09
2013-05-09,259.9,231.0,12.51
2013-05-10,280.0,259.9,7.73
2013-05-13,267.2,280.0,-4.57
2013-05-14,281.0,267.2,5.16
2013-05-15,290.0,281.0,3.2
2013-05-16,297.5,290.0,2.59
2013-05-17,302.0,297.5,1.51
2013-05-20,300.01,302.0,-0.66
2013-05-21,336.0,300.01,12.0
2013-05-22,326.0,336.0,-2.98
2013-05-23,299.75,326.0,-8.05
2013-05-24,281.5,299.75,-6.09
2013-05-28,285.0,281.5,1.24
2013-05-29,290.0,285.0,1.75
2013-05-31,280.0,290.0,-3.45
2013-06-03,255.0,280.0,-8.93
2013-06-04,238.0,255.0,-6.67
2013-06-05,240.0,238.0,0.84
2013-06-06,236.0,240.0,-1.67
2013-06-07,233.0,236.0,-1.27
2013-06-10,239.0,233.0,2.58
2013-06-11,240.0,239.0,0.42
2013-06-12,240.0,240.0,0.0
2013-06-17,269.0,240.0,12.08
2013-06-18,280.0,269.0,4.09
